#theta[rad] x[mm] y[mm]
-0.100000 0.000000 -400.000000
-0.100000 -2.201135 -378.062067
-0.090000 -4.248499 -355.375032
-0.080000 -5.593143 -338.602855
-0.070000 -6.475721 -326.015208
-0.060000 -7.099373 -315.633471
-0.050000 -7.497219 -307.683192
-0.040000 -7.760756 -301.098267
-0.030000 -7.933245 -295.350362
-0.020000 -8.036592 -290.183724
-0.010000 -8.083917 -285.451404
-0.000000 -8.083917 -281.059759
0.010000 -8.043256 -276.993864
0.020000 -7.969290 -273.296025
0.030000 -7.867014 -269.887871
0.040000 -7.739869 -266.710932
0.050000 -7.590409 -263.724221
0.060000 -7.420614 -260.897694
0.070000 -7.232066 -258.208556
0.080000 -7.026064 -255.639028
0.090000 -6.803695 -253.174932
0.100000 -6.565882 -250.804744
0.110000 -6.313426 -248.518951
0.120000 -6.047023 -246.309593
0.130000 -5.767290 -244.169932
0.140000 -5.474774 -242.094203
0.150000 -5.169969 -240.077431
0.160000 -4.854370 -238.121798
0.170000 -4.529624 -236.229963
0.180000 -4.196019 -234.396666
0.190000 -3.853799 -232.617232
0.200000 -3.503188 -230.887614
0.210000 -3.144396 -229.204271
0.220000 -2.777620 -227.564093
0.230000 -2.403045 -225.964325
0.240000 -2.020845 -224.402518
0.250000 -1.631184 -222.876481
0.260000 -1.234217 -221.384245
0.270000 -0.830092 -219.924036
0.280000 -0.418949 -218.494244
0.290000 -0.000922 -217.093408
0.300000 0.423862 -215.720195
0.310000 0.855283 -214.373386
0.320000 1.293222 -213.051861
0.330000 1.737569 -211.754591
0.340000 2.188217 -210.480627
0.350000 2.645064 -209.229091
0.360000 3.108009 -207.999171
0.370000 3.576958 -206.790112
0.380000 4.051820 -205.601212
0.390000 4.532506 -204.431817
0.400000 5.018930 -203.281316
0.410000 5.511010 -202.149138
0.420000 6.008666 -201.034748
0.430000 6.511820 -199.937645
0.440000 7.020803 -198.856499
0.450000 7.535989 -197.789982
0.460000 8.057295 -196.737792
0.470000 8.584635 -195.699651
