#theta[rad] x[mm] y[mm]
0.100000 0.000000 -400.000000
0.100000 2.201135 -378.062067
0.110000 4.702241 -355.416528
0.120000 6.719876 -338.683680
0.130000 8.359443 -326.142754
0.140000 9.816131 -315.805911
0.150000 11.014967 -307.873700
0.160000 12.073129 -301.316724
0.170000 13.054056 -295.602258
0.180000 13.987440 -290.472914
0.190000 14.889801 -285.780930
0.200000 15.771338 -281.432175
0.210000 16.634366 -277.383105
0.220000 17.457367 -273.702743
0.230000 18.250169 -270.316774
0.240000 19.021330 -267.165534
0.250000 19.776692 -264.207297
0.260000 20.520426 -261.411529
0.270000 21.255617 -258.755094
0.280000 21.984605 -256.219961
0.290000 22.709211 -253.791761
0.300000 23.430874 -251.458820
0.310000 24.150751 -249.211505
0.320000 24.869782 -247.041758
0.330000 25.588743 -244.942755
0.340000 26.308277 -242.908660
0.350000 27.028924 -240.934439
0.360000 27.751140 -239.015708
0.370000 28.474287 -237.151270
0.380000 29.195329 -235.346015
0.390000 29.914718 -233.595909
0.400000 30.633096 -231.896786
0.410000 31.351009 -230.245011
0.420000 32.068928 -228.637390
0.430000 32.787262 -227.071099
0.440000 33.506367 -225.543627
0.450000 34.226553 -224.052727
0.460000 34.948095 -222.596386
0.470000 35.671236 -221.172786
0.480000 36.396189 -219.780281
0.490000 37.123146 -218.417377
0.500000 37.852278 -217.082710
0.510000 38.583737 -215.775034
0.520000 39.317663 -214.493208
0.530000 40.054177 -213.236178
0.540000 40.793394 -212.002978
0.550000 41.535415 -210.792711
0.560000 42.280333 -209.604549
0.570000 43.028232 -208.437722
0.580000 43.779191 -207.291515
0.590000 44.533280 -206.165262
0.600000 45.290565 -205.058342
0.610000 46.051106 -203.970174
0.620000 46.814959 -202.900215
0.630000 47.582178 -201.847955
0.640000 48.352809 -200.812917
0.650000 49.126899 -199.794651
0.660000 49.904490 -198.792736
0.670000 50.685623 -197.806774
0.680000 51.470335 -196.836390
0.690000 52.258662 -195.881231
0.700000 53.050640 -194.940962
